Clase,Metodo,Nombre del test,Descripcion,Datos de entrada,Resultado esperado,Resultado obtenido,OK/KO
Producto,constructor,testConstructorNombreValido,El nombre se guarda en mayusculas,"nombre=agua, precio=1.0",AGUA,,
Producto,constructor,testConstructorPrecioNegativo,Precio negativo se guarda como 0,"nombre=agua, precio=-1.0",0.0,,
Producto,constructor,testConstructorPrecioCero,Precio cero se guarda como 0,"nombre=agua, precio=0",0.0,,
Producto,constructor,testConstructorPrecioValido,Precio positivo se guarda bien,"nombre=agua, precio=1.5",1.5,,
Producto,constructor,testConstructorPrecioRedondeado,Precio se redondea a 2 decimales,"nombre=agua, precio=1.556",1.56,,
Producto,setNombre,testSetNombreValido,Cambia el nombre en mayusculas,nombre=cerveza,CERVEZA,,
Producto,setNombre,testSetNombreMinusculas,Nombre en minusculas se convierte,nombre=pizza,PIZZA,,
Producto,getPrecio,testGetPrecioValido,Devuelve el precio correcto,precio=2.5,2.5,,
Producto,setPrecio,testSetPrecioValido,Cambia el precio correctamente,precio=3.0,3.0,,
Producto,toString,testToString,Formato correcto del producto,"nombre=AGUA, precio=0.35",AGUA - 0.35 euro,,
PasarelaDePago,constructor,testConstructorImporteValido,Importe positivo se guarda bien,importe=10.0,10.0,,
PasarelaDePago,constructor,testConstructorImporteNegativo,Importe negativo se guarda como 0,importe=-5.0,0.0,,
PasarelaDePago,constructor,testConstructorCodigoInicial,Codigo de pago inicial es 0,importe=10.0,0,,
PasarelaDePago,pagoEfectivo,testPagoEfectivoExacto,Pago exacto devuelve true,"importe=10.0, entrega=10.0",true,,
PasarelaDePago,pagoEfectivo,testPagoEfectivoConCambio,Pago con cambio devuelve true,"importe=10.0, entrega=20.0",true,,
PasarelaDePago,pagoEfectivo,testPagoEfectivoInsuficiente,Dinero insuficiente devuelve false,"importe=10.0, entrega=5.0",false,,
PasarelaDePago,pagoEfectivo,testPagoEfectivoYaPagado,Pago repetido devuelve false,"importe=0, entrega=10.0",false,,
PasarelaDePago,pagoEfectivo,testPagoEfectivoGeneraCodigo,Pago correcto genera codigo,"importe=10.0, entrega=10.0",codigoPago != 0,,
PasarelaDePago,pagoTarjeta,testTarjetaValidaVisa,Tarjeta Visa valida devuelve true,4111111111111111,true,,
PasarelaDePago,pagoTarjeta,testTarjetaInvalidaCorta,Tarjeta con menos de 16 digitos,41111,false,,
PasarelaDePago,pagoTarjeta,testTarjetaInvalidaLetras,Tarjeta con letras devuelve false,411111111111111A,false,,
PasarelaDePago,pagoTarjeta,testTarjetaValidaMaster,Tarjeta MasterCard valida,5111111111111111,true,,
PasarelaDePago,pagoTarjeta,testTarjetaYaPagada,Pago repetido devuelve false,"importe=0, tarjeta=4111111111111111",false,,
PasarelaDePago,pagoCuenta,testCuentaValida,Cuenta de 20 digitos valida,12345678901234567890,true,,
PasarelaDePago,pagoCuenta,testCuentaCorta,Cuenta con menos de 20 digitos,1234,false,,
PasarelaDePago,pagoCuenta,testCuentaConLetras,Cuenta con letras devuelve false,1234567890123456789A,false,,
